,property,location,price,area,furnished status,additional details
319,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.45 Cr,1450,Ready to move Construction Status,2 - 3 years oldNew
320,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.3 Cr,1301,Ready to move Construction Status,2 - 3 years oldNew
321,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",2.3 Cr,2306,Ready to move Construction Status,2 - 3 years oldNew
322,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.39 Cr,1395,Ready to move Construction Status,2 - 3 years oldNew
323,3 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.27 Cr,1270,Ready to move Construction Status,2 - 3 years oldNew
324,2 BHK Apartment in Majestic Fortune,"JP Nagar Phase 7, Bangalore",1.66 Cr,1661,Ready to move Construction Status,2 - 3 years oldNew
325,3 BHK Villa in Edifice Villa Valley,"Yelahanka, Bangalore",1.75 Cr,3325,Ready to move Construction Status,8 - 9 years old3 BathroomsNew
326,2 BHK Independent House,"NR Colony, Bangalore",2.52 Cr,900,Ready to move Construction Status,21 - 22 years old2 BathroomsResale
327,2 BHK Apartment in Hebron Towers,"Krishnarajapura, Bangalore",81 L,1092,Ready to move Construction Status,1 - 2 years old2 Bathrooms2nd of 9floor
328,3 BHK Apartment in RBD Stillwaters Apartments,"Harlur, Bangalore",1.82 Cr,1405,Ready to move Construction Status,2 - 3 years oldNew
329,3 BHK Apartment in RBD Stillwaters Apartments,"Harlur, Bangalore",2.22 Cr,1708,Ready to move Construction Status,2 - 3 years oldNew
330,3 BHK Apartment in RBD Stillwaters Apartments,"Harlur, Bangalore",1.61 Cr,1242,Ready to move Construction Status,2 - 3 years oldNew
331,3 BHK Apartment in RBD Stillwaters Apartments,"Harlur, Bangalore",1.66 Cr,1282,Ready to move Construction Status,2 - 3 years oldNew
332,3 BHK Apartment in RBD Stillwaters Apartments,"Harlur, Bangalore",1.58 Cr,1217,Ready to move Construction Status,2 - 3 years oldNew
333,3 BHK Apartment in RBD Stillwaters Apartments,"Harlur, Bangalore",2.43 Cr,1875,Ready to move Construction Status,2 - 3 years oldNew
334,3 BHK Apartment in RBD Stillwaters Apartments,"Harlur, Bangalore",2.91 Cr,2246,Ready to move Construction Status,2 - 3 years oldNew
335,3 BHK Apartment in RBD Stillwaters Apartments,"Harlur, Bangalore",1.63 Cr,1255,Ready to move Construction Status,2 - 3 years oldNew
336,2 BHK Apartment in RBD Stillwaters Apartments,"Harlur, Bangalore",1.93 Cr,1485,Ready to move Construction Status,2 - 3 years oldNew
337,3 BHK Apartment in RBD Stillwaters Apartments,"Harlur, Bangalore",1.85 Cr,1430,Ready to move Construction Status,2 - 3 years oldNew
338,4 BHK Villa in ISR Indraprastha,"Begur, Bangalore",2.3 Cr,3147,Ready to move Construction Status,0 - 1 year oldNew
339,4 BHK Villa in ISR Indraprastha,"Begur, Bangalore",2.39 Cr,3272,Ready to move Construction Status,0 - 1 year old4 BathroomsNew
340,4 BHK Villa in ISR Indraprastha,"Begur, Bangalore",2.3 Cr,3147,Ready to move Construction Status,0 - 1 year oldNew
341,4 BHK Villa in ISR Indraprastha,"Begur, Bangalore",2.39 Cr,3272,Ready to move Construction Status,0 - 1 year old4 BathroomsNew
342,3 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",2.18 Cr,1510,Ready to move Construction Status,5 years oldNew
343,2 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",1.79 Cr,1240,Ready to move Construction Status,5 years oldNew
344,2 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",1.77 Cr,1225,Ready to move Construction Status,5 years old2 BathroomsNew
345,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",4.85 Cr,3345,Ready to move Construction Status,5 years oldNew
346,1 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",86.27 L,595,Ready to move Construction Status,5 years oldNew
347,2 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",1.59 Cr,1100,Ready to move Construction Status,5 years oldNew
348,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",5.22 Cr,3600,Ready to move Construction Status,5 years oldNew
349,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",4.83 Cr,3335,Ready to move Construction Status,5 years oldNew
350,2 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",1.78 Cr,1230,Ready to move Construction Status,5 years old2 BathroomsNew
351,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",4.73 Cr,3265,Ready to move Construction Status,5 years old4 BathroomsNew
